"","HDI.Rank","Country","HDI","LEaB","EYoE","MYoE","GNI","rank","GII.Rank","Gender.Inequality.Index..GII.","Maternal.Mortality.Ratio","Adolescent.Birth.Rate","Percent.Representation.in.Parliament","edu2F","edu2M","laF","laM","R_Fe_Ma_p","ratio_lfpofF_M"
"81",81,"The former Yugoslav Republic of Macedonia",0.747,75.4,13.4,9.3,"11,780",9,81,0.164,7,18.3,33.3,40.2,55.6,43.1,67.5,47.9,55.3
"82",81,"Ukraine",0.747,71,15.1,11.3,"8,178",25,81,0.286,23,25.7,11.8,91.7,95.9,53.2,66.9,93.8,60.05
"83",83,"Algeria",0.736,74.8,14,7.6,"13,054",-1,83,0.413,89,10,25.7,26.7,31,15.2,72.2,28.85,43.7
"84",84,"Peru",0.734,74.6,13.1,9,"11,015",8,84,0.406,89,50.7,22.3,56.3,66.1,68.2,84.4,61.2,76.3
"85",85,"Albania",0.733,77.8,11.8,9.3,"9,943",14,85,0.217,21,15.3,20.7,81.8,87.9,44.9,65.5,84.85,55.2
"86",85,"Armenia",0.733,74.7,12.3,10.9,"8,124",22,85,0.318,29,27.1,10.7,94,95,54.2,72.6,94.5,63.4
"87",85,"Bosnia and Herzegovina",0.733,76.5,13.6,8.3,"9,638",19,85,0.201,8,15.1,19.3,44.9,69.8,34.1,57.3,57.35,45.7
"88",88,"Ecuador",0.732,75.9,14.2,7.6,"10,605",7,88,0.407,87,77,41.6,40.1,39.4,54.7,82.7,39.75,68.7
"89",89,"Saint Lucia",0.729,75.1,12.6,9.3,"9,765",14,89,NA,34,56.3,20.7,NA,NA,62.7,76.2,NA,69.45
"90",90,"China",0.727,75.8,13.1,7.5,"12,547",-7,90,0.191,32,8.6,23.6,58.7,71.9,63.9,78.3,65.3,71.1
"91",90,"Fiji",0.727,70,15.7,9.9,"7,493",21,90,0.418,59,42.8,14,64.2,64.5,37.5,72,64.35,54.75
"92",90,"Mongolia",0.727,69.4,14.6,9.3,"10,729",4,90,0.325,68,18.7,14.9,85.3,84.1,56.6,69.3,84.7,62.95
"93",93,"Thailand",0.726,74.4,13.5,7.3,"13,323",-13,93,0.38,26,41,6.1,35.7,40.8,64.3,80.7,38.25,72.5
"94",94,"Dominica",0.724,77.8,12.7,7.9,"9,994",4,94,NA,NA,NA,21.9,29.7,23.2,NA,NA,26.45,NA
"95",94,"Libya",0.724,71.6,14,7.3,"14,911",-19,94,0.134,15,2.5,16,55.5,41.9,30,76.4,48.7,53.2
"96",96,"Tunisia",0.721,74.8,14.6,6.8,"10,404",1,96,0.24,46,4.6,31.3,32.8,46.1,25.1,70.9,39.45,48
"97",97,"Colombia",0.72,74,13.5,7.3,"12,040",-9,97,0.429,83,68.5,20.9,56.9,55.6,55.8,79.7,56.25,67.75
"98",97,"Saint Vincent and the Grenadines",0.72,72.9,13.4,8.6,"9,937",3,97,NA,45,54.5,13,NA,NA,55.7,78,NA,66.85
"99",99,"Jamaica",0.719,75.7,12.4,9.7,"7,415",13,99,0.43,80,70.1,16.7,74,70.2,56.1,70.9,72.1,63.5
"100",100,"Tonga",0.717,72.8,14.7,10.7,"5,069",32,100,0.666,120,18.1,0,87.5,88.3,53.5,74.6,87.9,64.05
"101",101,"Belize",0.715,70,13.6,10.5,"7,614",9,101,0.426,45,71.4,13.3,76.4,75.8,49.2,82.3,76.1,65.75
"102",101,"Dominican Republic",0.715,73.5,13.1,7.6,"11,883",-12,101,0.477,100,99.6,19.1,55.6,53.1,51.3,78.6,54.35,64.95
"103",103,"Suriname",0.714,71.1,12.7,7.7,"15,617",-32,103,0.463,130,35.2,11.8,44.6,47.1,40.5,68.8,45.85,54.65
"104",104,"Maldives",0.706,76.8,13,5.8,"12,328",-19,104,0.243,31,4.2,5.9,27.3,32.7,56.2,77.5,30,66.85
"105",105,"Samoa",0.702,73.4,12.9,10.3,"5,327",24,105,0.457,58,28.3,6.1,64.3,60,23.5,58.4,62.15,40.95
"106",106,"Botswana",0.698,64.5,12.5,8.9,"16,646",-41,106,0.48,170,44.2,9.5,73.6,77.9,71.9,81.6,75.75,76.75
"107",107,"Moldova (Republic of)",0.693,71.6,11.9,11.2,"5,223",23,107,0.248,21,29.3,20.8,93.6,96.6,37.6,44.2,95.1,40.9
"108",108,"Egypt",0.69,71.1,13.5,6.6,"10,512",-12,108,0.573,45,43,2.2,43.9,60.6,23.7,74.8,52.25,49.25
"109",109,"Turkmenistan",0.688,65.6,10.8,9.9,"13,066",-28,109,NA,61,18,25.8,NA,NA,46.9,76.9,NA,61.9
"110",110,"Gabon",0.684,64.4,12.5,7.8,"16,367",-42,110,0.514,240,103,16.2,53.9,36.1,56.2,65.4,45,60.8
"111",110,"Indonesia",0.684,68.9,13,7.6,"9,788",-9,110,0.494,190,48.3,17.1,39.9,49.2,51.4,84.2,44.55,67.8
"112",112,"Paraguay",0.679,72.9,11.9,7.7,"7,643",-3,112,0.472,110,67,16.8,36.8,43,55.7,84.8,39.9,70.25
"113",113,"Palestine, State of",0.677,72.9,13,8.9,"4,699",21,113,NA,NA,45.8,NA,53.9,59.4,15.4,66.4,56.65,40.9
"114",114,"Uzbekistan",0.675,68.4,11.5,10.9,"5,567",10,114,NA,36,38.8,16.4,NA,NA,48.1,75.6,NA,61.85
"115",115,"Philippines",0.668,68.2,11.3,8.9,"7,915",-7,115,0.42,120,46.8,27.1,65.9,63.7,51.1,79.7,64.8,65.4
"116",116,"El Salvador",0.666,73,12.3,6.5,"7,349",-3,116,0.427,69,76,27.4,36.8,43.6,47.8,79,40.2,63.4
"117",116,"South Africa",0.666,57.4,13.6,9.9,"12,122",-29,116,0.407,140,50.9,40.7,72.7,75.9,44.5,60.5,74.3,52.5
"118",116,"Viet Nam",0.666,75.8,11.9,7.5,"5,092",15,116,0.308,49,29,24.3,59.4,71.2,73,82.2,65.3,77.6
"119",119,"Bolivia (Plurinational State of)",0.662,68.3,13.2,8.2,"5,760",4,119,0.444,200,71.9,51.8,47.6,59.1,64.2,80.9,53.35,72.55
"120",120,"Kyrgyzstan",0.655,70.6,12.5,10.6,"3,044",29,120,0.353,75,29.3,23.3,94.5,96.8,56,79.5,95.65,67.75
"121",121,"Iraq",0.654,69.4,10.1,6.4,"14,003",-44,121,0.539,67,68.7,26.5,27.8,50.2,14.9,69.8,39,42.35
"122",122,"Cabo Verde",0.646,73.3,13.5,4.7,"6,094",-1,122,NA,53,70.6,20.8,NA,NA,51.5,83.7,NA,67.6
"123",123,"Micronesia (Federated States of)",0.64,69.1,11.7,9.7,"3,432",21,123,NA,96,18.6,0,NA,NA,NA,NA,NA,NA
"124",124,"Guyana",0.636,66.4,10.3,8.5,"6,522",-4,124,0.515,250,88.5,31.3,60.3,47.8,42.6,80.5,54.05,61.55
"125",125,"Nicaragua",0.631,74.9,11.5,6,"4,457",12,125,0.449,100,100.8,39.1,39.4,38.3,47.4,80.3,38.85,63.85
"126",126,"Morocco",0.628,74,11.6,4.4,"6,850",-8,126,0.525,120,35.8,11,20.7,30.2,26.5,75.8,25.45,51.15
"127",126,"Namibia",0.628,64.8,11.3,6.2,"9,418",-21,126,0.401,130,54.9,37.7,33.3,34.4,54.7,63.7,33.85,59.2
"128",128,"Guatemala",0.627,71.8,10.7,5.6,"6,929",-11,128,0.533,140,97.2,13.3,21.9,23.2,49.3,88.2,22.55,68.75
"129",129,"Tajikistan",0.624,69.4,11.2,10.4,"2,517",27,129,0.357,44,42.8,15.2,95.1,91.2,58.9,77.1,93.15,68
"130",130,"India",0.609,68,11.7,5.4,"5,497",-4,130,0.563,190,32.8,12.2,27,56.6,27,79.9,41.8,53.45
"131",131,"Honduras",0.606,73.1,11.1,5.5,"3,938",7,131,0.48,120,84,25.8,28,25.8,42.8,82.9,26.9,62.85
"132",132,"Bhutan",0.605,69.5,12.6,3,"7,176",-17,132,0.457,120,40.9,8.3,34,34.5,66.7,77.2,34.25,71.95
"133",133,"Timor-Leste",0.595,68.2,11.7,4.4,"5,363",-6,133,NA,270,52.2,38.5,NA,NA,24.6,50.8,NA,37.7
"134",134,"Syrian Arab Republic",0.594,69.6,12.3,6.3,"2,728",21,134,0.533,49,41.6,12.4,29.5,40.5,13.5,72.7,35,43.1
"135",134,"Vanuatu",0.594,71.9,10.6,6.8,"2,803",19,134,NA,86,44.8,0,NA,NA,61.5,80,NA,70.75
"136",136,"Congo",0.591,62.3,11.1,6.1,"6,012",-14,136,0.593,410,126.7,11.5,39.7,47,68.5,73,43.35,70.75
"137",137,"Kiribati",0.59,66,12.3,7.8,"2,434",21,137,NA,130,16.6,8.7,NA,NA,NA,NA,NA,NA
"138",138,"Equatorial Guinea",0.587,57.6,9,5.5,"21,056",-84,138,NA,290,112.6,19.7,NA,NA,80.7,92.2,NA,86.45
"139",139,"Zambia",0.586,60.1,13.5,6.6,"3,734",2,139,0.587,280,125.4,12.7,25.8,44,73.1,85.6,34.9,79.35
"140",140,"Ghana",0.579,61.4,11.5,7,"3,852",-1,140,0.554,380,58.4,10.9,45.2,64.7,67.3,71.4,54.95,69.35
"141",141,"Lao People's Democratic Republic",0.575,66.2,10.6,5,"4,680",-6,141,NA,NA,65,25,22.9,37,76.3,79.1,29.95,77.7
"142",142,"Bangladesh",0.57,71.6,10,5.1,"3,191",5,142,0.503,170,80.6,20,34.1,41.3,57.4,84.1,37.7,70.75
"143",143,"Cambodia",0.555,68.4,10.9,4.4,"2,949",7,143,0.477,170,44.3,19,9.9,22.9,78.8,86.5,16.4,82.65
"144",143,"Sao Tome and Principe",0.555,66.5,11.3,4.7,"2,918",8,143,NA,210,65.1,18.2,NA,NA,45.3,77.8,NA,61.55
"145",145,"Kenya",0.548,61.6,11,6.3,"2,762",9,145,0.552,400,93.6,20.8,25.3,31.4,62.2,72.4,28.35,67.3
"146",145,"Nepal",0.548,69.6,12.4,3.3,"2,311",16,145,0.489,190,73.7,29.5,17.7,38.2,79.9,87.1,27.95,83.5
"147",147,"Pakistan",0.538,66.2,7.8,4.7,"4,866",-14,147,0.536,170,27.3,19.7,19.3,46.1,24.6,82.9,32.7,53.75
"148",148,"Myanmar",0.536,65.9,8.6,4.1,"4,608",-12,148,0.413,200,12.1,4.7,22.9,15.3,75.2,82.3,19.1,78.75
"149",149,"Angola",0.532,52.3,11.4,4.7,"6,822",-30,149,NA,460,170.2,36.8,NA,NA,63.3,76.9,NA,70.1
"150",150,"Swaziland",0.531,49,11.3,7.1,"5,542",-25,150,0.557,310,72,14.7,21.9,26,43.9,71.6,23.95,57.75
"151",151,"Tanzania (United Republic of)",0.521,65,9.2,5.1,"2,411",8,151,0.547,410,122.7,36,5.6,9.5,88.1,90.2,7.55,89.15
"152",152,"Nigeria",0.514,52.8,9,5.9,"5,341",-24,152,NA,560,119.6,6.6,NA,NA,48.2,63.7,NA,55.95
"153",153,"Cameroon",0.512,55.5,10.4,6,"2,803",-1,153,0.587,590,115.8,27.1,21.3,34.9,63.8,76.8,28.1,70.3
"154",154,"Madagascar",0.51,65.1,10.3,6,"1,328",24,154,NA,440,122.8,20.5,NA,NA,86.6,90.5,NA,88.55
"155",155,"Zimbabwe",0.509,57.5,10.9,7.3,"1,615",13,155,0.504,470,60.3,35.1,48.7,62,83.2,89.7,55.35,86.45
"156",156,"Mauritania",0.506,63.1,8.5,3.8,"3,560",-14,156,0.61,320,73.3,22.2,8.3,20.9,28.7,79.1,14.6,53.9
"157",156,"Solomon Islands",0.506,67.9,9.2,5,"1,540",16,156,NA,130,64.9,2,NA,NA,53.4,79,NA,66.2
"158",158,"Papua New Guinea",0.505,62.6,9.9,4,"2,463",-1,158,0.611,220,62.1,2.7,7.6,14.5,70.5,74,11.05,72.25
"159",159,"Comoros",0.503,63.3,11.5,4.6,"1,456",16,159,NA,350,51.1,3,NA,NA,35.2,80.1,NA,57.65
"160",160,"Yemen",0.498,63.8,9.2,2.6,"3,519",-17,160,0.744,270,47,0.7,8.6,26.7,25.4,72.2,17.65,48.8
"161",161,"Lesotho",0.497,49.8,11.1,5.9,"3,306",-16,161,0.541,490,89.4,26.8,21.9,19,59,73.5,20.45,66.25
"162",162,"Togo",0.484,59.7,12.2,4.5,"1,228",17,162,0.588,450,91.5,17.6,16.1,40.3,80.6,81.3,28.2,80.95
"163",163,"Haiti",0.483,62.8,8.7,4.9,"1,669",4,163,0.603,380,42,3.5,22.4,35.2,60.9,71,28.8,65.95
"164",163,"Rwanda",0.483,64.2,10.3,3.7,"1,458",11,163,0.4,320,33.6,57.5,8,8.8,86.4,85.3,8.4,85.85
"165",163,"Uganda",0.483,58.5,9.8,5.4,"1,613",6,163,0.538,360,126.6,35,22.9,33.5,75.8,79.2,28.2,77.5
"166",166,"Benin",0.48,59.6,11.1,3.3,"1,767",0,166,0.614,340,90.2,8.4,11.3,27,67.6,78.3,19.15,72.95
"167",167,"Sudan",0.479,63.5,7,3.1,"3,809",-27,167,0.591,360,84,23.8,12.1,18.2,31.3,76,15.15,53.65
"168",168,"Djibouti",0.47,62,6.4,3.8,"3,276",-22,168,NA,230,18.6,12.7,NA,NA,36.3,67.7,NA,52
"169",169,"South Sudan",0.467,55.7,7.6,5.4,"2,332",-9,169,NA,730,75.3,24.3,NA,NA,NA,NA,NA,NA
"170",170,"Senegal",0.466,66.5,7.9,2.5,"2,188",-8,170,0.528,320,94.4,42.7,7.2,15.4,66,88,11.3,77
"171",171,"Afghanistan",0.465,60.4,9.3,3.2,"1,885",-7,171,0.693,400,86.8,27.6,5.9,29.8,15.8,79.5,17.85,47.65
"172",172,"Côte d'Ivoire",0.462,51.5,8.9,4.3,"3,171",-24,172,0.679,720,130.3,9.2,14,30.1,52.4,81.4,22.05,66.9
"173",173,"Malawi",0.445,62.8,10.8,4.3,"747",13,173,0.611,510,144.8,16.7,11.1,21.6,84.6,81.5,16.35,83.05
"174",174,"Ethiopia",0.442,64.1,8.5,2.4,"1,428",2,174,0.558,420,78.4,25.5,7.8,18.2,78.2,89.3,13,83.75
"175",175,"Gambia",0.441,60.2,8.8,2.8,"1,507",-2,175,0.622,430,115.8,9.4,17.4,31.5,72.2,82.9,24.45,77.55
"176",176,"Congo (Democratic Republic of the)",0.433,58.7,9.8,6,"680",11,176,0.673,730,135.3,8.2,12.8,32.4,70.7,73.2,22.6,71.95
"177",177,"Liberia",0.43,60.9,9.5,4.1,"805",7,177,0.651,640,117.4,10.7,15.4,39.3,58.2,64.8,27.35,61.5
"178",178,"Guinea-Bissau",0.42,55.2,9,2.8,"1,362",-1,178,NA,560,99.3,13.7,NA,NA,68.2,78.5,NA,73.35
"179",179,"Mali",0.419,58,8.4,2,"1,583",-8,179,0.677,550,175.6,9.5,7.7,15.1,50.8,81.4,11.4,66.1
"180",180,"Mozambique",0.416,55.1,9.3,3.2,"1,123",1,180,0.591,480,137.8,39.6,1.4,6.2,85.5,82.8,3.8,84.15
"181",181,"Sierra Leone",0.413,50.9,8.6,3.1,"1,780",-16,181,0.65,1100,100.7,12.4,10,21.7,65.7,69,15.85,67.35
"182",182,"Guinea",0.411,58.8,8.7,2.4,"1,096",0,182,NA,650,131,21.9,NA,NA,65.6,78.3,NA,71.95
"183",183,"Burkina Faso",0.402,58.7,7.8,1.4,"1,591",-13,183,0.631,400,115.4,13.3,0.9,3.2,77.1,90,2.05,83.55
"184",184,"Burundi",0.4,56.7,10.1,2.7,"758",1,184,0.492,740,30.3,34.9,5.3,8.3,83.3,82,6.8,82.65
"185",185,"Chad",0.392,51.6,7.4,1.9,"2,085",-22,185,0.706,980,152,14.9,1.7,9.9,64,79.2,5.8,71.6
"186",186,"Eritrea",0.391,63.7,4.1,3.9,"1,130",-6,186,NA,380,65.3,22,NA,NA,80,89.8,NA,84.9
"187",187,"Central African Republic",0.35,50.7,7.2,4.2,"581",1,187,0.655,880,98.3,12.5,10.1,26.7,72.6,85.1,18.4,78.85
"188",188,"Niger",0.348,61.4,5.4,1.5,"908",-5,188,0.713,630,204.8,13.3,2.4,7.8,40,89.7,5.1,64.85
