"","breakfast","tea.time","evening","lunch","dinner","always","home","work","tearoom","friends","resto","pub","Tea","How","sugar","how","where","price","age","sex","SPC","Sport","age_Q","frequency","escape.exoticism","spirituality","healthy","diuretic","friendliness","iron.absorption","feminine","sophisticated","slimming","exciting","relaxing","effect.on.health"
"11","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_unknown",32,"M","middle","sportsman","25-34","1/day","Not.escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"12","breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_variable",31,"M","middle","sportsman","25-34","1/day","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"13","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag+unpackaged","chain store+tea shop","p_private label",56,"M","senior","sportsman","45-59","1/day","Not.escape-exoticism","spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"14","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","black","milk","sugar","tea bag","chain store","p_branded",66,"M","non-worker","sportsman","+60","+2/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","slimming","exciting","No.relaxing","effect on health"
"15","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","black","milk","No.sugar","tea bag","chain store+tea shop","p_upscale",65,"M","non-worker","sportsman","+60","+2/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","No.exciting","relaxing","effect on health"
"16","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","sugar","unpackaged","chain store+tea shop","p_upscale",60,"M","middle","sportsman","+60","+2/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"17","breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","black","alone","No.sugar","tea bag+unpackaged","chain store+tea shop","p_upscale",35,"M","middle","sportsman","35-44","+2/day","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"18","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store+tea shop","p_variable",72,"F","non-worker","sportsman","+60","+2/day","escape-exoticism","Not.spirituality","healthy","Not.diuretic","Not.friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"19","breakfast","tea time","evening","lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","resto","Not.pub","black","alone","No.sugar","tea bag","chain store","p_branded",73,"F","non-worker","Not.sportsman","+60","+2/day","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"20","Not.breakfast","tea time","Not.evening","lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","black","alone","No.sugar","tea bag","chain store","p_variable",80,"F","non-worker","sportsman","+60","+2/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"21","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","lemon","No.sugar","tea bag","chain store+tea shop","p_variable",76,"F","non-worker","Not.sportsman","+60","+2/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","iron absorption","Not.feminine","Not.sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"22","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","Not.friends","resto","Not.pub","black","other","No.sugar","tea bag+unpackaged","chain store+tea shop","p_variable",63,"F","non-worker","sportsman","+60","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"23","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","Not.home","work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_upscale",55,"F","non-worker","sportsman","45-59","+2/day","escape-exoticism","Not.spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","exciting","No.relaxing","effect on health"
"24","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","Not.pub","black","alone","No.sugar","tea bag","chain store","p_upscale",56,"F","non-worker","Not.sportsman","45-59","+2/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"25","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","No.sugar","unpackaged","chain store+tea shop","p_branded",60,"F","non-worker","Not.sportsman","+60","+2/day","escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","No.exciting","relaxing","effect on health"
"26","breakfast","Not.tea time","evening","Not.lunch","Not.dinner","always","home","work","tearoom","friends","resto","pub","Earl Grey","milk","No.sugar","tea bag","chain store+tea shop","p_unknown",22,"F","student","sportsman","15-24","+2/day","escape-exoticism","Not.spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","exciting","relaxing","No.effect on health"
"27","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_variable",24,"F","employee","sportsman","15-24","+2/day","escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"28","breakfast","tea time","evening","lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store","p_variable",21,"F","middle","sportsman","15-24","+2/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"29","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","black","alone","No.sugar","tea bag","chain store","p_variable",75,"F","non-worker","Not.sportsman","+60","1 to 2/week","Not.escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"30","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_variable",37,"F","non-worker","Not.sportsman","35-44","+2/day","escape-exoticism","spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"31","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","unpackaged","tea shop","p_upscale",32,"F","middle","sportsman","25-34","+2/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"32","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","Not.pub","Earl Grey","lemon","sugar","tea bag+unpackaged","chain store+tea shop","p_variable",32,"F","middle","Not.sportsman","25-34","1/day","escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"33","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag+unpackaged","chain store+tea shop","p_variable",38,"F","middle","Not.sportsman","35-44","3 to 6/week","escape-exoticism","spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"34","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","black","alone","No.sugar","tea bag","chain store","p_private label",50,"F","non-worker","Not.sportsman","45-59","3 to 6/week","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"35","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","resto","pub","black","lemon","No.sugar","tea bag+unpackaged","chain store+tea shop","p_upscale",26,"F","employee","sportsman","25-34","1/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"36","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag","chain store","p_variable",39,"M","senior","Not.sportsman","35-44","1/day","escape-exoticism","Not.spirituality","Not.healthy","diuretic","Not.friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"37","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","green","alone","No.sugar","tea bag+unpackaged","chain store","p_branded",17,"F","student","sportsman","15-24","1/day","Not.escape-exoticism","Not.spirituality","Not.healthy","diuretic","Not.friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"38","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","green","alone","No.sugar","tea bag","chain store","p_branded",45,"F","non-worker","Not.sportsman","45-59","+2/day","escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","No.exciting","relaxing","No.effect on health"
"39","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","tearoom","friends","resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","chain store+tea shop","p_branded",36,"F","middle","Not.sportsman","35-44","+2/day","Not.escape-exoticism","spirituality","healthy","diuretic","Not.friendliness","Not.iron absorption","feminine","sophisticated","slimming","No.exciting","No.relaxing","No.effect on health"
"40","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","green","alone","No.sugar","tea bag+unpackaged","chain store+tea shop","p_branded",37,"F","middle","Not.sportsman","35-44","3 to 6/week","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","No.relaxing","effect on health"
"41","breakfast","tea time","Not.evening","lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_branded",71,"F","non-worker","Not.sportsman","+60","+2/day","escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","No.exciting","relaxing","No.effect on health"
"42","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","tearoom","friends","Not.resto","Not.pub","green","alone","No.sugar","tea bag","chain store","p_private label",48,"F","other worker","sportsman","45-59","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"43","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","chain store","p_branded",23,"F","student","Not.sportsman","15-24","1/day","escape-exoticism","spirituality","healthy","diuretic","friendliness","iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"44","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","friends","resto","Not.pub","black","other","No.sugar","tea bag","chain store+tea shop","p_variable",70,"F","non-worker","Not.sportsman","+60","+2/day","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","No.exciting","relaxing","No.effect on health"
"45","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable",19,"F","student","sportsman","15-24","3 to 6/week","escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","iron absorption","feminine","sophisticated","slimming","No.exciting","relaxing","No.effect on health"
"46","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","tearoom","friends","resto","pub","Earl Grey","milk","sugar","tea bag","chain store","p_variable",25,"F","student","sportsman","25-34","1/day","escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"47","Not.breakfast","Not.tea time","evening","Not.lunch","dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_unknown",22,"F","student","Not.sportsman","15-24","1 to 2/week","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"48","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store+tea shop","p_variable",22,"F","student","sportsman","15-24","1 to 2/week","Not.escape-exoticism","spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"49","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store","p_private label",34,"F","employee","Not.sportsman","25-34","1/day","Not.escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","exciting","No.relaxing","effect on health"
"50","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","friends","resto","Not.pub","black","alone","No.sugar","tea bag+unpackaged","chain store+tea shop","p_upscale",23,"F","student","sportsman","15-24","+2/day","Not.escape-exoticism","Not.spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"51","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","pub","Earl Grey","alone","sugar","tea bag+unpackaged","chain store+tea shop","p_variable",21,"F","employee","sportsman","15-24","1/day","escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"52","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","always","home","Not.work","tearoom","friends","Not.resto","Not.pub","black","alone","sugar","tea bag+unpackaged","chain store","p_upscale",37,"F","employee","sportsman","35-44","1 to 2/week","Not.escape-exoticism","spirituality","Not.healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"53","Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","pub","Earl Grey","alone","No.sugar","unpackaged","tea shop","p_upscale",40,"F","non-worker","sportsman","35-44","3 to 6/week","Not.escape-exoticism","Not.spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","effect on health"
"54","Not.breakfast","tea time","evening","Not.lunch","dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_upscale",18,"F","student","sportsman","15-24","1 to 2/week","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","effect on health"
"55","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","green","milk","sugar","tea bag","chain store","p_branded",18,"F","employee","sportsman","15-24","1/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","Not.sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"56","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","always","home","work","tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store","p_variable",56,"F","middle","sportsman","45-59","3 to 6/week","escape-exoticism","Not.spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"57","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","friends","Not.resto","pub","green","alone","No.sugar","tea bag","chain store","p_variable",34,"F","other worker","Not.sportsman","25-34","1/day","escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"58","breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag+unpackaged","chain store+tea shop","p_variable",32,"M","other worker","sportsman","25-34","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"59","Not.breakfast","tea time","Not.evening","lunch","Not.dinner","Not.always","home","Not.work","tearoom","friends","Not.resto","Not.pub","green","lemon","sugar","tea bag+unpackaged","chain store+tea shop","p_variable",60,"F","senior","Not.sportsman","+60","3 to 6/week","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"60","breakfast","tea time","Not.evening","lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","pub","black","alone","No.sugar","tea bag+unpackaged","chain store","p_branded",66,"F","non-worker","sportsman","+60","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"61","breakfast","tea time","Not.evening","lunch","Not.dinner","Not.always","home","work","tearoom","friends","resto","Not.pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store+tea shop","p_variable",49,"F","senior","sportsman","45-59","3 to 6/week","escape-exoticism","Not.spirituality","Not.healthy","diuretic","Not.friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"62","breakfast","tea time","evening","lunch","Not.dinner","always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","unpackaged","tea shop","p_branded",28,"F","student","Not.sportsman","25-34","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"63","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable",22,"F","non-worker","Not.sportsman","15-24","1/day","escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","slimming","exciting","No.relaxing","No.effect on health"
"64","Not.breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","friends","resto","pub","black","alone","No.sugar","tea bag","chain store+tea shop","p_variable",35,"F","middle","Not.sportsman","35-44","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","iron absorption","feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"65","Not.breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag+unpackaged","chain store","p_variable",25,"F","employee","sportsman","25-34","1 to 2/week","Not.escape-exoticism","spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"66","Not.breakfast","tea time","evening","Not.lunch","dinner","Not.always","home","Not.work","tearoom","friends","resto","Not.pub","black","other","No.sugar","tea bag+unpackaged","chain store+tea shop","p_upscale",62,"F","non-worker","sportsman","+60","1/day","escape-exoticism","spirituality","healthy","diuretic","friendliness","iron absorption","feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
"67","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","tearoom","friends","resto","pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store+tea shop","p_variable",57,"F","non-worker","Not.sportsman","45-59","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"68","Not.breakfast","Not.tea time","evening","lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","pub","Earl Grey","lemon","sugar","tea bag+unpackaged","chain store+tea shop","p_variable",20,"F","student","sportsman","15-24","3 to 6/week","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","exciting","relaxing","No.effect on health"
